node   1  (   0,    0) (   5,    3) (   6,    5) (   4,    7) (   2,    7) (   2,    5) (   2,    1) (   2,    3) (   2,    6) (   2,    3)
          (   2,    3) (   2,    0) (   2,    3) (   2,    1) (   2,    1) (   2,    1) (   2,    1) (   2,    2) (   2,    1) (   2,    3)
          (   2,    6) (   2,    2) (   2,    0) (   2,    2) (   2,    0) (   2,    2) (   2,    3) (   2,    3) (   2,    2) (   2,    2)
          (   2,    1) (   2,    3) (   2,    1) (   2,    2) (   2,    0) (   2,    1) (   2,    2) (   2,    4) (   2,    3) (   2,    2)
          (   2,    3) (   2,    3) (   2,    1) (   2,    5) (   2,    1) (   2,    1) (   2,    3) (   2,    2) (   2,    5) (   2,    0)
          (   2,    0) (   2,    3) (   1,    2) (   2,    2) (   2,    3) (   2,    2) (   2,    3) (   2,    3) (   2,    0) (   2,    4)
          (   2,    1) (   2,    1) (   2,    1) (   1,    1) (   2,    1) (   2,    1) (   1,    2) (   2,    1) (   1,    2) (   2,    0)
          (   2,    3) (   2,    1) (   1,    0) (   2,    2) (   2,    2) (   2,    2) (   2,    1) (   2,    1) (   2,    2) (   2,    2)
          (   2,    2) (   2,    2) (   2,    0) (   1,    0) (   1,    4) (   2,    2) (   1,    2) (   2,    0) (   2,    3) (   2,    2)
          (   2,    1) (   2,    4) (   2,    1) (   2,    3) (   2,    4) (   2,    2) (   2,    1) (   2,    5) (   2,    3) (   2,    4)
          (   2,    1) (   2,    1) (   0,    1) (   2,    2) (   2,    1) (   1,    3) (   2,    1) (   2,    2) (   2,    3) (   2,    4)
          (   2,    3) (   2,    2) (   2,    0) (   2,    3) (   2,    1) (   2,    0) (   2,    2) (   2,    0) (   2,    0) (   2,    2)
          (   2,    0) (   1,    2) (   2,    2) (   2,    1) (   2,    1) (   2,    2) (   2,    1) (   2,    4) (   2,    2) (   1,    5)
